series,language,status,slug,path,paired,body_words,code_blocks,images,structural_errors,structural_warnings,frontmatter_errors,quality_warnings,infra_warnings,caption_warnings,link_warnings,severity,action
ai-agent-101,ko,publish-ready,01-what-is-an-ai-agent,content/ai-agent-101/ko/01-what-is-an-ai-agent.md,true,868,5,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,ko,publish-ready,02-context-engineering,content/ai-agent-101/ko/02-context-engineering.md,true,869,28,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,03-tool-use-fundamentals,content/ai-agent-101/ko/03-tool-use-fundamentals.md,true,874,34,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,04-agent-workflow-design,content/ai-agent-101/ko/04-agent-workflow-design.md,true,1263,32,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,05-memory-and-state,content/ai-agent-101/ko/05-memory-and-state.md,true,1379,24,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,06-multi-agent-systems,content/ai-agent-101/ko/06-multi-agent-systems.md,true,923,25,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,07-agent-evaluation,content/ai-agent-101/ko/07-agent-evaluation.md,true,724,13,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,08-error-handling-reliability,content/ai-agent-101/ko/08-error-handling-reliability.md,true,571,12,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,09-production-operations,content/ai-agent-101/ko/09-production-operations.md,true,554,14,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,ko,publish-ready,10-building-first-agent,content/ai-agent-101/ko/10-building-first-agent.md,true,978,14,0,,missing questions block,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,medium,needs-light-edit
ai-agent-101,en,publish-ready,01-what-is-an-ai-agent,content/ai-agent-101/en/01-what-is-an-ai-agent.md,true,1237,5,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,02-context-engineering,content/ai-agent-101/en/02-context-engineering.md,true,1045,28,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,03-tool-use-fundamentals,content/ai-agent-101/en/03-tool-use-fundamentals.md,true,1122,34,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,04-agent-workflow-design,content/ai-agent-101/en/04-agent-workflow-design.md,true,1368,32,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,05-memory-and-state,content/ai-agent-101/en/05-memory-and-state.md,true,1533,24,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,06-multi-agent-systems,content/ai-agent-101/en/06-multi-agent-systems.md,true,1172,18,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,07-agent-evaluation,content/ai-agent-101/en/07-agent-evaluation.md,true,876,13,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,08-error-handling-reliability,content/ai-agent-101/en/08-error-handling-reliability.md,true,695,12,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,09-production-operations,content/ai-agent-101/en/09-production-operations.md,true,686,14,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
ai-agent-101,en,publish-ready,10-building-first-agent,content/ai-agent-101/en/10-building-first-agent.md,true,1266,14,0,,,,,Has code examples but references lack companion GitHub repo (ai-agent-101),,,pass,pass
